bill_id,item_name,quantity,price
1,Rau Luộc Thập Cẩm,1,39.000
1,Heineken,2,18.000
1,Bún thêm,1,5.000
1,Cơm Rang Hãi Sãn,1,79.000
1,Mực Pattaya,1,69.000
1,.Tàu Hủ Sã Ớt,1,39.000
2,Mực Pattaya,1,69.000
2,Nước Ngọt.Suối,1,10.000
2,Gà Nia,1,159.000
3,Mực Pattaya,1,69.000
3,Lẫu Gà Chanh Ớt,1,139.000
3,Ốc Bưu Quay Lu,1,49.000
3,Nước Ngọt.Suối,3,10.000
3,Cơm Rang Hãi Sãn,1,79.000
4,Bò Lúc Lắc Khoai Tây,2,89.000
4,Cơm Rang Cá Mặn,2,59.000
4,Ốc Bưu Quay Lu,2,49.000
4,Mực Pattaya,2,69.000
4,Gà Nia,2,159.000
4,Nước Ngọt.Suối,8,10.000
4,Éch Chiên Nươc Mắm,2,79.000
5,Bao Tử Cá Chiên Giòn,1,49.000
5,Nước Ngọt.Suối,3,10.000
5,Bún thêm,1,5.000
5,Mực Nia Pallet,1,99.000
5,Lẫu Thái,1,129.000
6,Lẫu Gà Chanh Ớt,1,139.000
6,Mực Rang Tiêu shock,1,39.000
6,Nước Ngọt.Suối,2,10.000
6,Mì Xào Giòn,1,89.000
7,.Tàu Hủ Sã Ớt,1,39.000
7,Cơm Rang Hãi Sãn,1,79.000
7,Nước Ngọt.Suối,1,10.000
8,Mực Pattaya,1,69.000
8,Tủy Heo Hấp Gừng,1,69.000
8,Nước Ngọt.Suối,3,10.000
8,Mực Rang Tiêu shock,1,39.000
8,Cơm Rang Tỏi,1,49.000
8,Ốc Bưu Quay Lu,1,49.000
9,Tiger Bạc,2,15.500
9,Mực Nia Pallet,1,99.000
9,Cơm Trắng,1,10.000
9,Bò Xào Củ Hành,1,89.000
10,Mực Pattaya,1,69.000
10,Tiger Bạc,2,15.500
10,Nước Ngọt.Suối,2,10.000
10,Mực Rang Tiêu shock,1,39.000
10,Cơm Rang Cá Mặn,1,59.000
10,Lẫu Mẽ Cá Đuối,1,139.000
11,Tiger Nâu,20,14.000
11,Mực Rang Tiêu shock,1,39.000
11,Lẫu Bò Kampot,1,169.000
11,Tủy Heo Hấp Gừng,1,69.000
11,Gỏi Đu Đủ Ba Khía,1,69.000
12,Sài Gòn special,1,14.500
12,Nước Ngọt.Suối,1,10.000
12,Lẫu Khô,1,139.000
13,Nước Ngọt.Suối,1,10.000
13,Mì Hải Sãn,1,89.000
13,Tiger Nâu,3,14.000
14,Mực Pattaya,1,69.000
14,Gỏi Sứa,2,59.000
15,Tủy Heo Chiên Xù,1,59.000
15,Nước Ngọt.Suối,5,10.000
15,Mực Rang Tiêu shock,1,39.000
15,Lẫu Nướng Pallet,1,189.000
15,Mực Nia Pallet,1,99.000
15,Bánh Chè Nướng Chao,1,69.000
16,Mực Pattaya,1,69.000
16,Nước Ngọt.Suối,2,10.000
16,Ốc Bưu Quay Lu,1,49.000
16,Lẫu Gà Chanh Ớt,1,139.000
16,Bao Tử Cá Chiên Nước Mắm,1,49.000
17,Tiger Nâu,2,14.000
17,Ốc Bưu Quay Lu,1,49.000
17,Beck's,4,14.000
17,Mực Rang Tiêu shock,1,39.000
18,Beck's,7,14.000
18,.Tàu Hủ Sã Ớt,1,39.000
18,Gà Nia,1,159.000
18,Nước Ngọt.Suối,5,10.000
18,Mực Chiên Giòn,1,69.000
18,Lẫu Khô,1,139.000
18,Cá Đuối Nướng Bắp Chuối,1,79.000
19,Lẫu Bò Kampot,1,169.000
19,Thuốc mèo (lớn),1,25.000
19,Gõi Đu Đũ 3 Khía Hãi Sãn,1,99.000
